dataset,method,acc_mean,acc_std,viol_rate,time
COMPAS,MonoXGB1,0.6576518218623482,0.011769862032901092,0.0,0.029311752319335936
German Credit,MonoXGB1,0.7,0.0,0.0,0.0030069828033447267
