Seed,Setting,Accuracy,Cost,ViolRate_FullPolicy,ViolSeverity_FullPolicy,ViolRate_Declared,ViolSeverity_Declared,Time,Gap
45,ODT-none,0.7,4.447619047619048,0.0,0.0,,,15.026082992553711,1.0363636363636364
45,EMDT-cons2,0.72,4.5285714285714285,0.0015,0.0015,0.0,0.0,15.022944927215576,1.054054054054054
45,EMDT-mid3,0.72,4.5285714285714285,0.0015,0.0015,0.0,0.0,15.024456024169922,1.045045045045045
45,EMDT-full5,0.73,4.5,0.0,0.0,0.0,0.0,15.023551225662231,1.0789473684210527
44,ODT-none,0.69,4.752380952380952,0.0,0.0,,,15.026338815689087,0.9811320754716981
44,EMDT-cons2,0.66,4.7,0.0035,0.0035,0.0,0.0,15.084637641906738,0.9811320754716981
44,EMDT-mid3,0.69,4.89047619047619,0.0,0.0,0.0,0.0,15.023142337799072,0.9819819819819819
44,EMDT-full5,0.69,4.89047619047619,0.0,0.0,0.0,0.0,15.024195194244385,0.9369369369369369
42,ODT-none,0.69,4.338095238095239,0.0965,0.0965,,,15.220797061920166,0.9038461538461539
42,EMDT-cons2,0.67,4.257142857142857,0.0,0.0,0.0,0.0,15.023961544036865,0.9038461538461539
42,EMDT-mid3,0.66,4.423809523809524,0.0,0.0,0.0,0.0,15.024038553237915,0.9074074074074074
42,EMDT-full5,0.69,4.338095238095239,0.0,0.0,0.0,0.0,15.020970821380615,0.9369369369369369
43,ODT-none,0.7,4.033333333333333,0.0,0.0,,,15.026873111724854,0.9345794392523364
43,EMDT-cons2,0.67,4.395238095238096,0.0,0.0,0.0,0.0,15.023028135299683,0.9166666666666666
43,EMDT-mid3,0.71,4.004761904761905,0.2,0.2,0.0,0.0,15.235300302505493,0.9369369369369369
43,EMDT-full5,0.7,4.30952380952381,0.0,0.0,0.0,0.0,15.022953510284424,0.908256880733945
46,ODT-none,0.67,4.257142857142857,0.0,0.0,,,15.022287845611572,1.0377358490566038
46,EMDT-cons2,0.67,4.671428571428572,0.0745,0.0745,0.0,0.0,15.076398849487305,1.0660377358490567
46,EMDT-mid3,0.68,4.642857142857143,0.0,0.0,0.0,0.0,15.024353981018066,1.0648148148148149
46,EMDT-full5,0.68,4.642857142857143,0.0,0.0,0.0,0.0,15.021581172943115,1.073394495412844
47,ODT-none,0.72,4.114285714285714,0.119,0.119,,,15.022656440734863,1.1226415094339623
47,EMDT-cons2,0.7,4.447619047619048,0.2015,0.2015,0.0,0.0,15.021271467208862,1.1308411214953271
47,EMDT-mid3,0.7,4.30952380952381,0.091,0.091,0.0,0.0,15.024621486663818,1.1132075471698113
47,EMDT-full5,0.71,4.280952380952381,0.0,0.0,0.0,0.0,15.022107124328613,1.1415929203539823
49,ODT-none,0.71,4.142857142857143,0.026,0.026,,,15.025938749313354,1.0277777777777777
49,EMDT-cons2,0.71,4.142857142857143,0.0,0.0,0.0,0.0,15.02343201637268,1.0530973451327434
49,EMDT-mid3,0.67,3.842857142857143,0.0,0.0,0.0,0.0,15.023942232131958,1.0530973451327434
49,EMDT-full5,0.72,4.390476190476191,0.0,0.0,0.0,0.0,15.02193284034729,1.087719298245614
48,ODT-none,0.65,4.866666666666667,0.0,0.0,,,15.026595830917358,1.2427184466019416
48,EMDT-cons2,0.66,4.7,0.0,0.0,0.0,0.0,15.311699151992798,1.2403846153846154
48,EMDT-mid3,0.67,4.671428571428572,0.0,0.0,0.0,0.0,15.022852659225464,1.2380952380952381
48,EMDT-full5,0.66,4.7,0.0,0.0,0.0,0.0,15.021917819976807,1.2407407407407407
50,ODT-none,0.66,4.561904761904763,0.0,0.0,,,15.023245573043823,1.125
50,EMDT-cons2,0.66,4.423809523809524,0.0,0.0,0.0,0.0,15.021248817443848,1.1470588235294117
50,EMDT-mid3,0.67,4.671428571428572,0.0,0.0,0.0,0.0,14.844820737838745,1.1574074074074074
50,EMDT-full5,0.67,4.671428571428572,0.0,0.0,0.0,0.0,15.070446729660034,1.1944444444444444
51,ODT-none,0.7,4.723809523809524,0.0,0.0,,,15.022835969924927,0.7297297297297297
51,EMDT-cons2,0.71,4.280952380952381,0.273,0.273,0.0,0.0,15.016157865524292,0.7272727272727273
51,EMDT-mid3,0.72,3.838095238095238,0.2255,0.2255,0.0,0.0,15.019436120986938,0.719626168224299
51,EMDT-full5,0.7,4.723809523809524,0.0,0.0,0.0,0.0,15.02015495300293,0.7297297297297297
