dataset,method,cost_1_1_mean,cost_1_1_std,cost_2_5_mean,cost_2_5_std,cost_5_2_mean,cost_5_2_std,cost_10_1_mean,cost_10_1_std
adult_income,CART,0.7306666666666667,0.12393546707863731,3.393333333333333,0.7836665957748444,1.7213333333333332,0.1941820451706765,1.5106666666666664,0.5880136052847756
adult_income,EMDT,0.8346666666666666,0.13830722645215932,3.985333333333333,0.6556557362247695,1.857333333333333,0.34894125580103014,1.3986666666666663,0.47517949824835204
adult_income,EMDT-Iso,0.8346666666666666,0.13830722645215932,3.985333333333333,0.6556557362247695,1.857333333333333,0.34894125580103014,1.3986666666666663,0.47517949824835204
adult_income,LGBM-Mono,0.6733333333333332,0.11979406197283159,3.098666666666667,0.581567061407006,1.6146666666666665,0.2907937201081223,1.477333333333333,0.3956703953145789
adult_income,LGBM-Mono-Best,0.6853333333333333,0.11247166995830496,3.146666666666667,0.5744519664239953,1.6506666666666665,0.25202782523237,1.5253333333333328,0.3615166953097109
adult_income,MonoRF,0.7933333333333333,0.0915706567912734,3.9146666666666667,0.4537775601261856,1.6386666666666667,0.1963066384417406,0.949333333333333,0.18622169185816803
adult_income,MonoScore,0.8386666666666667,0.07151275462513014,4.053333333333333,0.3897957679872125,1.8173333333333332,0.14457088483073183,1.2586666666666664,0.24450100355773743
adult_income,ODT,0.8173333333333334,0.13079811981885728,3.9146666666666667,0.6221015756051177,1.8066666666666666,0.3188404918752624,1.333333333333333,0.3971752108933136
adult_income,XGB-Mono,0.6453333333333333,0.11299732325028054,2.958666666666667,0.5354937723698694,1.5586666666666664,0.30569572542515194,1.4493333333333331,0.48352818549991433
adult_income,XGB-Mono-Best,0.6853333333333333,0.1184592444370324,3.206666666666667,0.5659734321732124,1.5906666666666665,0.3244779282569555,1.345333333333333,0.5345707866372104
bank_marketing,CART,0.7836567926455567,0.16552456832998616,3.8036772216547496,0.871547519378906,1.681920326864147,0.2995125456569047,1.1274770173646576,0.2257699760664334
