Setting,Accuracy_Mean,Accuracy_Std,Accuracy_CI_L,Accuracy_CI_U,Cost_Mean,Cost_Std,Cost_CI_L,Cost_CI_U,ViolRate_FullPolicy_Mean,ViolRate_FullPolicy_Std,ViolRate_FullPolicy_CI_L,ViolRate_FullPolicy_CI_U,ViolSeverity_FullPolicy_Mean,ViolSeverity_FullPolicy_Std,ViolSeverity_FullPolicy_CI_L,ViolSeverity_FullPolicy_CI_U,ViolRate_Declared_Mean,ViolRate_Declared_Std,ViolRate_Declared_CI_L,ViolRate_Declared_CI_U,ViolSeverity_Declared_Mean,ViolSeverity_Declared_Std,ViolSeverity_Declared_CI_L,ViolSeverity_Declared_CI_U,Time_Mean,Time_Std,Time_CI_L,Time_CI_U,Gap_Mean,Gap_Std,Gap_CI_L,Gap_CI_U,Runs
EMDT-cons2,0.683,0.02282542442102662,0.6699999999999999,0.6970000000000001,4.454761904761904,0.18541184164019342,4.342821428571429,4.5685714285714285,0.055400000000000005,0.09487064878032617,0.0012000000000000001,0.11715374999999999,0.055400000000000005,0.09487064878032617,0.0012000000000000001,0.11715374999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.062478041648864,0.08629406872044171,15.025171583294869,15.120955039262773,1.0220391318702453,0.13881698327130448,0.9372166669259431,1.1029270800102025,10
EMDT-full5,0.6950000000000001,0.02061552812808828,0.683,0.7070000000000001,4.544761904761905,0.1986941495851476,4.422380952380952,4.661904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.026981139183045,0.014531909931542372,15.021592900156975,15.036766213774682,1.0328699751956227,0.14619842051852355,0.9434734685972812,1.119978573572782,10
EMDT-mid3,0.689,0.02118962010041706,0.6759999999999999,0.702,4.382380952380952,0.3537556839122543,4.16952380952381,4.595238095238096,0.0518,0.08503005351050887,0.00045000000000000004,0.10765,0.0518,0.08503005351050887,0.00045000000000000004,0.10765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.02669644355774,0.0875807758847056,14.970406394600868,15.086870797872544,1.0217619892215688,0.1378696334601253,0.9365707413020496,1.101667431689973,10
ODT-none,0.689,0.021189620100417063,0.6759999999999999,0.7010249999999998,4.423809523809523,0.27857753351063835,4.257142857142858,4.600964285714286,0.024149999999999998,0.04279839366144482,0.0025350000000000034,0.055349999999999996,0.024149999999999998,0.04279839366144482,0.0025350000000000034,0.055349999999999996,,,,,,,,,15.04436523914337,0.05883610749512625,15.02393431544304,15.084020351171494,1.014152461753384,0.13342436253505516,0.9330061827564912,1.093374273830218,10
