Dataset,Method,Accuracy_Mean,Accuracy_Std,Accuracy_CI_L,Accuracy_CI_U,Cost_Mean,Cost_Std,Cost_CI_L,Cost_CI_U,WorstSubgroupAccGap_Mean,WorstSubgroupAccGap_Std,WorstSubgroupAccGap_CI_L,WorstSubgroupAccGap_CI_U,WorstSubgroupCostGap_Mean,WorstSubgroupCostGap_Std,WorstSubgroupCostGap_CI_L,WorstSubgroupCostGap_CI_U,ShiftAccDelta_Mean,ShiftAccDelta_Std,ShiftAccDelta_CI_L,ShiftAccDelta_CI_U,ShiftCostDelta_Mean,ShiftCostDelta_Std,ShiftCostDelta_CI_L,ShiftCostDelta_CI_U,Runs
compas_real,CART,0.664,0.021999999999999985,0.651,0.6790249999999999,3.0082828282828284,0.30874801076213687,2.818979797979798,3.1939444444444445,0.06177943284337147,0.039785406214806626,0.03781260504201682,0.08600482560917341,0.9520595445319436,0.5286469823929465,0.6476613719676398,1.2876282275730804,0.00812698412698415,0.14466029224072366,-0.08713968253968252,0.08679642857142857,-1.2082828282828282,0.65896466146423,-1.6500555555555554,-0.8692272727272731,10
compas_real,EMDT-full,0.651,0.028792360097775933,0.6319999999999999,0.6670249999999999,3.0705050505050506,0.31624060716524494,2.8854494949494947,3.274545454545455,0.06244111382062047,0.04760044438320638,0.03438127044460061,0.09106779945228712,1.008277430408834,0.5563906969472726,0.6563547112323909,1.348901865291571,0.08846031746031746,0.2489373439429541,-0.062335317460317445,0.24782261904761896,-0.6705050505050505,1.2759025486060585,-1.42910101010101,0.12121717171717172,10
german_real,CART,0.6909999999999998,0.03780211634287159,0.666,0.7129999999999999,4.4871428571428575,0.34046153814625835,4.2790357142857145,4.688095238095238,0.1387541471199884,0.12770786306388485,0.062406032266125,0.22023616175783078,0.3453146312921221,0.2193236590085682,0.2312610651218663,0.4870662597444749,0.12373809523809523,0.14513282875304062,0.03503690476190475,0.2127613095238094,-1.3121428571428573,0.9070575200455601,-1.886922619047619,-0.7580952380952384,10
german_real,EMDT-full,0.6950000000000001,0.02061552812808828,0.683,0.708,4.544761904761905,0.1986941495851476,4.417142857142858,4.663333333333333,0.25547619047619047,0.15777362582764812,0.15661488095238094,0.3486624999999999,0.4720249379402697,0.35640189981222076,0.2741306904384708,0.6972974080648562,0.25547619047619047,0.15777362582764812,0.15661488095238094,0.3486624999999999,-0.4030952380952383,1.0064717171686035,-1.0094583333333336,0.20512499999999922,10
