Method,Accuracy,Violations
CART,0.65,5
EMDT,0.6666666666666666,0
CART,0.8166666666666667,0
EMDT,0.75,0
CART,0.75,0
EMDT,0.7666666666666667,0
CART,0.7166666666666667,0
EMDT,0.7333333333333333,0
CART,0.6333333333333333,0
EMDT,0.65,0
CART,0.6666666666666666,0
EMDT,0.6333333333333333,0
CART,0.6833333333333333,0
EMDT,0.8,0
CART,0.75,15
EMDT,0.7833333333333333,0
CART,0.7833333333333333,2
EMDT,0.7666666666666667,0
CART,0.7333333333333333,34
EMDT,0.6833333333333333,0
