Accuracy,Brier,ECE,FPR,FNR,Cost,Time,violations,viol_rate,viol_severity_mean,viol_severity_cond,viol_severity_max,SolverStatus,Objective,BestBound,RelativeGap,SolverWallTime,Dataset,Seed,Method,BudgetSec,Workers,WarmStart,InitBudgetSec,InitStatus,InitGap,InitWallTime
0.69,0.31,0.31,0.8333333333333334,0.08571428571428572,4.338095238095239,15.7236647605896,0,0.0,0.0,0.0,0.0,FEASIBLE,108.0,89.0,0.17592592592592593,15.308444900000001,german_real,46,EMDT,15.0,4,1,3.0,FEASIBLE,1.0394736842105263,3.0117889
0.72,0.28,0.28,0.8,0.05714285714285714,4.114285714285714,15.424464702606201,260,0.13,0.13,1.0,1.0,FEASIBLE,106.0,-13.0,1.1226415094339623,15.0081185,german_real,47,ODT,15.0,1,0,0.0,NA,,
0.71,0.29,0.29000000000000004,0.8333333333333334,0.05714285714285714,4.280952380952381,15.59807276725769,0,0.0,0.0,0.0,0.0,FEASIBLE,113.0,-16.0,1.1415929203539823,15.011657600000001,german_real,47,EMDT,15.0,1,0,0.0,NA,,
0.68,0.32,0.31999999999999995,0.8333333333333334,0.1,4.366666666666667,15.44008183479309,43,0.0215,0.0215,1.0,1.0,FEASIBLE,107.0,51.0,0.5233644859813084,15.0351698,german_real,47,ODT,15.0,4,0,0.0,NA,,
0.72,0.28,0.28,0.8,0.05714285714285714,4.114285714285714,15.581601619720459,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,85.0,0.23423423423423423,15.0903203,german_real,47,EMDT,15.0,4,0,0.0,NA,,
0.69,0.31,0.30999999999999994,0.9,0.05714285714285714,4.614285714285714,15.944472789764404,0,0.0,0.0,0.0,0.0,FEASIBLE,112.0,84.0,0.25,15.503346500000001,german_real,47,EMDT,15.0,4,1,3.0,FEASIBLE,1.1355932203389831,3.0030547000000003
0.65,0.35,0.35000000000000003,0.9333333333333333,0.1,4.866666666666667,15.519644021987915,0,0.0,0.0,0.0,0.0,FEASIBLE,103.0,-26.0,1.2524271844660195,15.0056568,german_real,48,ODT,15.0,1,0,0.0,NA,,
0.66,0.34,0.3400000000000001,0.9,0.1,4.7,15.396012306213379,0,0.0,0.0,0.0,0.0,FEASIBLE,108.0,-26.0,1.2407407407407407,15.004634300000001,german_real,48,EMDT,15.0,1,0,0.0,NA,,
0.66,0.34,0.33999999999999997,0.8333333333333334,0.12857142857142856,4.423809523809524,15.411790132522583,218,0.109,0.109,1.0,1.0,FEASIBLE,100.0,56.0,0.44,15.052214300000001,german_real,48,ODT,15.0,4,0,0.0,NA,,
0.67,0.33,0.32999999999999996,0.9,0.08571428571428572,4.671428571428572,16.265764474868774,0,0.0,0.0,0.0,0.0,FEASIBLE,108.0,86.0,0.2037037037037037,15.8773125,german_real,48,EMDT,15.0,4,0,0.0,NA,,
0.66,0.34,0.33999999999999997,0.8333333333333334,0.12857142857142856,4.423809523809524,15.57140588760376,0,0.0,0.0,0.0,0.0,FEASIBLE,105.0,86.0,0.18095238095238095,15.0726115,german_real,48,EMDT,15.0,4,1,3.0,FEASIBLE,1.2325581395348837,3.0072769000000004
0.71,0.29,0.29,0.8,0.07142857142857142,4.142857142857143,15.384754180908203,50,0.025,0.025,1.0,1.0,FEASIBLE,108.0,-3.0,1.0277777777777777,15.006288900000001,german_real,49,ODT,15.0,1,0,0.0,NA,,
0.72,0.28,0.27999999999999997,0.8666666666666667,0.02857142857142857,4.390476190476191,15.386391162872314,0,0.0,0.0,0.0,0.0,FEASIBLE,114.0,-10.0,1.087719298245614,15.011620200000001,german_real,49,EMDT,15.0,1,0,0.0,NA,,
0.7,0.3,0.3,0.8333333333333334,0.07142857142857142,4.30952380952381,15.481266021728516,50,0.025,0.025,1.0,1.0,FEASIBLE,105.0,55.0,0.47619047619047616,15.1070325,german_real,49,ODT,15.0,4,0,0.0,NA,,
0.73,0.27,0.26999999999999996,0.8666666666666667,0.014285714285714285,4.361904761904762,15.571412801742554,0,0.0,0.0,0.0,0.0,FEASIBLE,114.0,93.0,0.18421052631578946,15.055883000000001,german_real,49,EMDT,15.0,4,0,0.0,NA,,
0.73,0.27,0.26999999999999996,0.8666666666666667,0.014285714285714285,4.361904761904762,15.468774318695068,0,0.0,0.0,0.0,0.0,FEASIBLE,114.0,97.0,0.14912280701754385,15.089018900000001,german_real,49,EMDT,15.0,4,1,3.0,FEASIBLE,1.0445859872611465,3.0058029000000004
0.66,0.34,0.33999999999999997,0.8666666666666667,0.11428571428571428,4.561904761904763,15.430473804473877,0,0.0,0.0,0.0,0.0,FEASIBLE,104.0,-13.0,1.125,15.087240600000001,german_real,50,ODT,15.0,1,0,0.0,NA,,
0.67,0.33,0.32999999999999996,0.9,0.08571428571428572,4.671428571428572,15.363436222076416,0,0.0,0.0,0.0,0.0,FEASIBLE,108.0,-22.0,1.2037037037037037,15.005941100000001,german_real,50,EMDT,15.0,1,0,0.0,NA,,
0.68,0.32,0.32,0.7666666666666667,0.12857142857142856,4.09047619047619,15.568400859832764,194,0.097,0.097,1.0,1.0,FEASIBLE,104.0,53.0,0.49038461538461536,15.0491013,german_real,50,ODT,15.0,4,0,0.0,NA,,
0.66,0.34,0.33999999999999997,0.8333333333333334,0.12857142857142856,4.423809523809524,16.890770435333252,0,0.0,0.0,0.0,0.0,FEASIBLE,105.0,87.0,0.17142857142857143,16.5084529,german_real,50,EMDT,15.0,4,0,0.0,NA,,
0.67,0.33,0.32999999999999996,0.9,0.08571428571428572,4.671428571428572,15.52654504776001,0,0.0,0.0,0.0,0.0,FEASIBLE,108.0,90.0,0.16666666666666666,15.1284889,german_real,50,EMDT,15.0,4,1,3.0,FEASIBLE,1.1355932203389831,3.0042947
0.7,0.3,0.3,0.9333333333333333,0.02857142857142857,4.723809523809524,15.364665985107422,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,30.0,0.7297297297297297,15.0061026,german_real,51,ODT,15.0,1,0,0.0,NA,,
0.7,0.3,0.3,0.9333333333333333,0.02857142857142857,4.723809523809524,15.356217384338379,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,30.0,0.7297297297297297,15.0101414,german_real,51,EMDT,15.0,1,0,0.0,NA,,
0.65,0.35,0.35,0.8666666666666667,0.12857142857142856,4.590476190476191,15.64572024345398,301,0.1505,0.1505,1.0,1.0,FEASIBLE,101.0,60.0,0.40594059405940597,15.3038526,german_real,51,ODT,15.0,4,0,0.0,NA,,
0.7,0.3,0.3,0.9333333333333333,0.02857142857142857,4.723809523809524,15.389323472976685,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,91.0,0.18018018018018017,15.027418500000001,german_real,51,EMDT,15.0,4,0,0.0,NA,,
0.7,0.3,0.3,0.9333333333333333,0.02857142857142857,4.723809523809524,15.449867248535156,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,92.0,0.17117117117117117,15.048300500000002,german_real,51,EMDT,15.0,4,1,3.0,FEASIBLE,0.7297297297297297,3.0048365
