Dataset,Method,Workers,BudgetSec,WarmStart,InitBudgetSec,Runs,Accuracy_Mean,Accuracy_Std,Accuracy_CI_L,Accuracy_CI_U,Cost_Mean,Cost_Std,Cost_CI_L,Cost_CI_U,viol_rate_Mean,viol_rate_Std,viol_rate_CI_L,viol_rate_CI_U,viol_severity_mean_Mean,viol_severity_mean_Std,viol_severity_mean_CI_L,viol_severity_mean_CI_U,Time_Mean,Time_Std,Time_CI_L,Time_CI_U,SolverWallTime_Mean,SolverWallTime_Std,SolverWallTime_CI_L,SolverWallTime_CI_U,RelativeGap_Mean,RelativeGap_Std,RelativeGap_CI_L,RelativeGap_CI_U,OptimalRate,FeasibleRate
german_real,EMDT,1,15.0,0,0.0,10,0.6950000000000001,0.02061552812808828,0.683,0.7080249999999999,4.544761904761905,0.1986941495851476,4.416654761904761,4.669523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.441088986396789,0.08437266900417487,15.395957350730896,15.4979013890028,15.008380720000002,0.003438056473299975,15.0063245945,15.010664323000002,1.0337959011215487,0.147244375755355,0.944330802955265,1.120934747396153,0.0,1.0
german_real,EMDT,4,15.0,0,0.0,10,0.6980000000000001,0.02357965224510317,0.6849999999999999,0.713,4.453333333333333,0.20305825041407327,4.317619047619048,4.5719047619047615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.849350500106812,0.5217277525308739,15.553889039158822,16.196947047114374,15.406182050000004,0.5606548126252843,15.060594410750001,15.779934904250002,0.1923126672233384,0.023221015374294572,0.17910774720709535,0.2077189239146023,0.0,1.0
german_real,EMDT,4,15.0,1,3.0,10,0.697,0.020999999999999984,0.684,0.7100000000000001,4.47,0.16917902337498378,4.36522619047619,4.567654761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.650239372253418,0.2651983851123253,15.50908497273922,15.834387407898904,15.229481150000002,0.27307071901593644,15.087945534500001,15.421675168250001,0.18264962831355877,0.036124373706154296,0.16086466959475168,0.2060253433660604,0.0,1.0
german_real,ODT,1,15.0,0,0.0,10,0.6900000000000001,0.021447610589527186,0.677,0.7030249999999999,4.4347619047619045,0.2930568424814034,4.2495119047619045,4.6152500000000005,0.02475,0.04467171924159625,0.0025,0.05825,0.02475,0.04467171924159625,0.0025,0.05825,15.44839255809784,0.1162725713820966,15.389329597949983,15.527384229302406,15.03716163,0.06834900228140953,15.00642789925,15.0825621945,1.0170017877090523,0.13506003453110296,0.9358688935352052,1.097990642791664,0.0,1.0
german_real,ODT,4,15.0,0,0.0,10,0.673,0.03257299494980465,0.651,0.6929999999999998,4.497142857142857,0.2583411234287367,4.349511904761905,4.667142857142858,0.091,0.07975869858517001,0.041598750000000004,0.14267749999999985,0.091,0.07975869858517001,0.041598750000000004,0.14267749999999985,15.53096318244934,0.10872628054421311,15.465646063089372,15.59921847164631,15.08853791,0.07663761186603414,15.052416079249998,15.1406493655,0.48553141338799577,0.048414426327807215,0.4579422171094365,0.5166636560325878,0.0,1.0
